base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
Santarem_3_PA,urucurana,Sloanea guianensis,Elaeocarpaceae,FALSE,TRUE,INCOSISTENTE,,,,2,3.38,2.47,,,,,5,c5,,735903.0405,9669925.923
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,17.2,,,2,13.19,11.52,,,,,15,c015,,735901.5968,9669928.078
Santarem_3_PA,inga vermelho,Inga alba,Fabaceae,FALSE,FALSE,,33.7,,,2,24.19,9.48,,,,,35,c035,Light-demanding,735898.1384,9669926.374
Santarem_3_PA,envira preta,Guatteria schomburgkiana,Annonaceae,FALSE,TRUE,INCOSISTENTE,,,,2,14.17,9.51,,,,,5,c5,Shade-tolerant,735894.0366,9669926.751
Santarem_3_PA,abiurana branca,Pouteria guianensis,Sapotaceae,FALSE,FALSE,,12.2,,,2,9.39,4.3,,,,,15,c015,,735893.9963,9669928.783
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,22.2,,,2,18.36,14.86,,,,,25,c025,Pioneer,735889.1038,9669926.188
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,14.2,,,2,17.47,14.75,,,,,15,c015,Pioneer,735888.4342,9669927.266
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,21.4,,,2,22.03,14.84,,,,,25,c025,Pioneer,735888.2032,9669926.27
Santarem_3_PA,urucurana,Sloanea guianensis,Elaeocarpaceae,FALSE,TRUE,INCOSISTENTE,,,,2,10.36,3.65,,,,,5,c5,,735887.8983,9669925.485
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,20.6,,,2,5.67,4.91,,,,,25,c025,,735879.5629,9669929.102
Santarem_3_PA,urucurana,Sloanea guianensis,Elaeocarpaceae,FALSE,TRUE,INCOSISTENTE,,,,2,2.73,1.36,,,,,5,c5,,735879.5026,9669929.414
Santarem_3_PA,joao-mole,Neea oppositifolia,Nyctaginaceae,FALSE,FALSE,,10.8,,,2,4.8,3.24,,,,,15,c015,Shade-tolerant,735874.2951,9669930.612
Santarem_3_PA,urucurana,Sloanea guianensis,Elaeocarpaceae,FALSE,FALSE,,16.5,,,2,13.6,9.27,,,,,15,c015,,735869.7293,9669932.061
Santarem_3_PA,fava-barbatimao,Stryphnodendron pulcherrimum,Fabaceae,FALSE,FALSE,,24,,,2,14.36,9.49,,,,,25,c025,,735871.9291,9669931.856
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,27.3,,,2,19.06,11.68,,,,,25,c025,,735860.422,9669929.84
Santarem_3_PA,cucutitiriba,Pouteria sp,Sapotaceae,FALSE,FALSE,,11.2,,,2,4.97,2.96,,,,,15,c015,Shade-tolerant,735858.1846,9669929.016
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,10.4,,,2,10.67,7.91,,,,,15,c015,,735856.4562,9669928.968
Santarem_3_PA,cucutitiriba,Pouteria sp,Sapotaceae,FALSE,FALSE,,54.5,,,2,28.77,17.02,,,,,55,c055,Shade-tolerant,735874.8627,9669965.41
Santarem_3_PA,marupa,Simarouba amara,Simaroubaceae,FALSE,FALSE,,47.6,,,2,24.23,12.76,,,,,45,c045,,735874.138,9669967.543
Santarem_3_PA,goiabao,Pradosia cochlearia,Sapotaceae,FALSE,FALSE,,53,,,2,27.47,16.06,,,,,55,c055,,735897.7603,9669947.7
Santarem_3_PA,inga vermelho,Inga alba,Fabaceae,FALSE,FALSE,,36.1,,,2,23.85,12.78,,,,,35,c035,Light-demanding,735900.8789,9669948.398
Santarem_3_PA,abiurana casca fina,Pouteria retinervis,Sapotaceae,FALSE,FALSE,,36,,,2,19.34,12.45,,,,,35,c035,,735903.4822,9669945.096
Santarem_3_PA,inga vermelho,Inga alba,Fabaceae,FALSE,FALSE,,42.8,,,2,22.77,10.56,,,,,45,c045,Light-demanding,735906.0889,9669941.801
Santarem_3_PA,inga vermelho,Inga alba,Fabaceae,FALSE,FALSE,,18.7,,,2,20.84,14.9,,,,,15,c015,Light-demanding,735748.2612,9669946.987
Santarem_3_PA,inga branco,Inga thibaudiana,Fabaceae,FALSE,FALSE,,14.7,,,2,19.95,13.27,,,,,15,c015,,735747.8537,9669945.959
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,24.4,,,2,25.26,18.69,,,,,25,c025,,735745.0623,9669949.58
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,37.2,,,2,26.31,15.17,,,,,35,c035,,735741.3692,9669947.921
Santarem_3_PA,inga branco,Inga thibaudiana,Fabaceae,FALSE,FALSE,,20,,,2,20.4,11.42,,,,,25,c025,,735737.58,9669946.079
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,TRUE,INCOSISTENTE,,,,2,17.82,16.12,,,,,5,c5,Pioneer,735736.2096,9669946.482
Santarem_3_PA,urucurana,Sloanea guianensis,Elaeocarpaceae,FALSE,TRUE,INCOSISTENTE,,,,2,6.98,2.45,,,,,5,c5,,735731.6015,9669950.306
Santarem_3_PA,inga branco,Inga thibaudiana,Fabaceae,FALSE,TRUE,INCOSISTENTE,,,,2,14.46,6.6,,,,,5,c5,,735724.1439,9669947.201
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,TRUE,INCOSISTENTE,,,,2,20.31,17.74,,,,,5,c5,Pioneer,735716.1493,9669949.252
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,TRUE,INCOSISTENTE,,,,2,17.79,9.2,,,,,5,c5,,735714.5705,9669949.47
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,39.3,,,2,26.29,18.67,,,,,35,c035,,735724.4717,9669976.463
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,TRUE,INCOSISTENTE,,,,2,26.29,15.55,,,,,5,c5,,735729.6841,9669990.648
Santarem_3_PA,matamata branco,Eschweilera coriacea,Lecythidaceae,FALSE,FALSE,,37.8,,,2,23.08,15.26,,,,,35,c035,Shade-tolerant,735740.8282,9669992.867
Santarem_3_PA,matamata branco,Eschweilera coriacea,Lecythidaceae,FALSE,TRUE,INCOSISTENTE,,,,2,19.7,11.62,,,,,5,c5,Shade-tolerant,735755.2907,9669997.052
Santarem_3_PA,matamata branco,Eschweilera coriacea,Lecythidaceae,FALSE,FALSE,,54.2,,,2,25.02,19.04,,,,,55,c055,Shade-tolerant,735746.6505,9669974.159
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,37,,,2,24.62,12.23,,,,,35,c035,,735737.6419,9669971.904
Santarem_3_PA,fava-paricana,Dimorphandra macrostachya,Fabaceae,FALSE,FALSE,,42.3,,,2,28.49,16.65,,,,,45,c045,,735747.9567,9669968.64
Santarem_3_PA,timborana,Pseudopiptadenia suaveolens,Fabaceae,FALSE,FALSE,,63,,,2,44.77,28.26,,,,,65,c065,Intermediate,735749.3636,9669964.166
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,18.8,,,2,21.37,18.85,,,,,15,c015,Pioneer,735606.0347,9669962.225
Santarem_3_PA,morototo,Schefflera morototoni,Araliaceae,FALSE,FALSE,,12.7,,,2,17.69,15.04,,,,,15,c015,Pioneer,735605.5713,9669966.478
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,12.7,,,2,19.24,16.48,,,,,15,c015,Pioneer,735600.43,9669963.302
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,17.6,,,2,15.23,12.95,,,,,15,c015,,735600.4912,9669962.978
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,32.2,,,2,29.04,13.67,,,,,35,c035,,735599.4525,9669964.806
Santarem_3_PA,inhare,Helicostylis sp,Moraceae,FALSE,FALSE,,31.2,,,2,25.03,19.53,,,,,35,c035,,735593.2042,9669965.241
Santarem_3_PA,inhare,Helicostylis sp,Moraceae,FALSE,FALSE,,39.3,,,2,27.59,20.64,,,,,35,c035,,735594.8494,9669966.922
Santarem_3_PA,acariquara,Minquartia guianensis,Olacaceae,FALSE,FALSE,,36.6,,,2,18.18,6.67,,,,,35,c035,Shade-tolerant,735601.1379,9669962.89
Santarem_3_PA,ucuubarana,Iryanthera paraensis,Myristicaceae,FALSE,FALSE,,26.5,,,2,22.91,16.9,,,,,25,c025,,735583.9456,9669966.618
Santarem_3_PA,cucutitiriba,Pouteria sp,Sapotaceae,FALSE,FALSE,,27,,,2,22.75,12.42,,,,,25,c025,Shade-tolerant,735578.3174,9669965.988
Santarem_3_PA,abiurana branca,Pouteria guianensis,Sapotaceae,FALSE,FALSE,,17.1,,,2,21.8,15.77,,,,,15,c015,,735577.4535,9669967.401
Santarem_3_PA,joao-mole,Neea oppositifolia,Nyctaginaceae,FALSE,FALSE,,14.8,,,2,16.86,10.31,,,,,15,c015,Shade-tolerant,735573.3282,9669966.666
Santarem_3_PA,mapatirana,Pourouma villosa,Urticaceae,FALSE,FALSE,,33.7,,,2,26.3,16.2,,,,,35,c035,,735571.6725,9669967.108
Santarem_3_PA,inga branco,Inga thibaudiana,Fabaceae,FALSE,FALSE,,11.2,,,2,19.59,14.53,,,,,15,c015,,735565.5367,9669970.784
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,17.7,,,2,23.05,18.01,,,,,15,c015,,735561.8718,9669968.221
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,33.7,,,2,29.24,21.43,,,,,35,c035,,735562.3879,9669972.208
Santarem_3_PA,inga branco,Inga thibaudiana,Fabaceae,FALSE,FALSE,,11.9,,,2,8.39,4.96,,,,,15,c015,,735563.0223,9670019.603
Santarem_3_PA,sucupira babona,Diplotropis sp,Fabaceae,FALSE,FALSE,,52,,,2,32.08,21.99,,,,,55,c055,,735574.7006,9669982.726
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,35,,,2,31.48,20.32,,,,,35,c035,,735579.0317,9670014.488
Santarem_3_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,38,,,2,23.01,18.39,,,,,35,c035,Shade-tolerant,735574.9454,9670015.233
Santarem_3_PA,inga branco,Inga thibaudiana,Fabaceae,FALSE,FALSE,,40,,,2,24.39,17.96,,,,,45,c045,,735570.7023,9670010.558
Santarem_3_PA,lacrao,Vismia floribunda,Hypericaceae,FALSE,FALSE,,37.5,,,2,29.57,22.25,,,,,35,c035,,735561.6886,9670019.849
Santarem_3_PA,maracatiara,Astronium graveolens,Anacardiaceae,FALSE,FALSE,,63.4,,,2,38.2,26.39,,,,,65,c065,,735585.7353,9670005.736
Santarem_3_PA,cupiuba,Goupia glabra,Goupiaceae,FALSE,FALSE,,56.8,,,2,31.06,21.22,,,,,55,c055,,735597.6833,9670014.279
Santarem_3_PA,casca doce,Coussarea brevicaulis,Rubiaceae,FALSE,FALSE,,42.3,,,2,24.28,13.08,,,,,45,c045,,735595.7135,9670002.917
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,37,,,2,34.49,25.65,,,,,35,c035,,735608.8858,9669983.804
Santarem_3_PA,barrote,Tetragastris altissima,Burseraceae,FALSE,FALSE,,42.1,,,2,20.01,9.42,,,,,45,c045,Intermediate,735583.4322,9669983.544
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,38.9,,,2,31.03,25.51,,,,,35,c035,,735604.8608,9669973.926
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,28,,,2,29.73,22.37,,,,,25,c025,Pioneer,735453.7679,9669988.409
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,14.5,,,2,20.58,16.81,,,,,15,c015,Pioneer,735454.4411,9669985.322
Santarem_3_PA,envira preta,Guatteria schomburgkiana,Annonaceae,FALSE,FALSE,,22,,,2,21,17.24,,,,,25,c025,Shade-tolerant,735452.6533,9669985.63
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,11.8,,,2,20.52,17,,,,,15,c015,Pioneer,735452.7259,9669988.589
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,29.7,,,2,28.26,22.25,,,,,25,c025,Pioneer,735452.8441,9669989.559
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,21.6,,,2,21.5,17.38,,,,,25,c025,,735448.1365,9669986.407
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,27.2,,,2,32.11,22.02,,,,,25,c025,,735441.7378,9669987.508
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,24.3,,,2,27.44,21.68,,,,,25,c025,Pioneer,735441.8608,9669988.775
Santarem_3_PA,pente-de-macaco,Apeiba petoumo,Malvaceae,FALSE,FALSE,,16.3,,,2,23.6,17.09,,,,,15,c015,Pioneer,735435.8723,9669991.591
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,27,,,2,29.59,23.45,,,,,25,c025,,735435.7856,9669991.705
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,25,,,2,28.45,20.26,,,,,25,c025,Pioneer,735435.6586,9669991.331
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,23.5,,,2,26.86,18.74,,,,,25,c025,,735433.6123,9669989.7
Santarem_3_PA,pau branco,Rinorea racemosa,Violaceae,FALSE,FALSE,,19,,,2,13.96,7.46,,,,,15,c015,,735425.2259,9669992.83
Santarem_3_PA,inga branco,Inga thibaudiana,Fabaceae,FALSE,FALSE,,26.7,,,2,23.09,9.68,,,,,25,c025,,735423.1074,9669994.286
Santarem_3_PA,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,24.1,,,2,28.3,23.13,,,,,25,c025,,735414.9499,9669995.692
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,TRUE,INCOSISTENTE,,,,2,16.88,12.23,,,,,5,c5,Pioneer,735412.9339,9669995.245
Santarem_3_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,30.5,,,2,29.57,21.89,,,,,35,c035,Pioneer,735412.8797,9669993.467
Santarem_3_PA,louro cunauaru,Endlicheria sp,Lauraceae,FALSE,TRUE,INCOSISTENTE,,,,2,41.09,29.57,,,,,5,c5,,735413.0686,9670009.321
Santarem_3_PA,amapa doce,Brosimum parinarioides,Moraceae,FALSE,FALSE,,82.6,,,2,25.15,15.56,,,,,85,c085,,735422.7296,9670025.512
Santarem_3_PA,mandioqueira,Qualea paraensis,Vochysiaceae,FALSE,FALSE,,72.4,,,2,36.58,27.12,,,,,75,c075,,735424.5482,9670021.226
Santarem_3_PA,cupiuba,Goupia glabra,Goupiaceae,FALSE,TRUE,INCOSISTENTE,,,,2,35.36,21.95,,,,,5,c5,,735444.1938,9670034.664
Santarem_3_PA,matamata branco,Eschweilera coriacea,Lecythidaceae,FALSE,FALSE,,37.8,,,2,22.4,15.01,,,,,35,c035,Shade-tolerant,735448.293,9670023.044
